Server Started


Total Message Transfer Run Time: 4.8104941844940186 seconds
         196267 function calls (191236 primitive calls) in 66.997 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 __init__.py:461(UnaryStreamClientInterceptor)
        1    0.000    0.000    0.000    0.000 __init__.py:471(StringTemplateStyle)
        1    0.000    0.000    0.000    0.000 __init__.py:486(IMetadataProvider)
        1    0.000    0.000    0.000    0.000 __init__.py:497(StreamUnaryClientInterceptor)
        1    0.000    0.000    0.000    0.000 __init__.py:5(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:509(IResourceProvider)
        1    0.000    0.000    0.000    0.000 __init__.py:510(Formatter)
        1    0.000    0.000    0.000    0.000 __init__.py:534(StreamStreamClientInterceptor)
        1    0.000    0.000    0.000    0.000 __init__.py:537(WorkingSet)
        1    0.000    0.000    0.005    0.005 __init__.py:540(__init__)
        1    0.000    0.000    0.005    0.005 __init__.py:553(_build_master)
        2    0.000    0.000    0.000    0.000 __init__.py:555(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:57(install)
        1    0.000    0.000    0.000    0.000 __init__.py:573(ChannelCredentials)
        1    0.000    0.000    0.000    0.000 __init__.py:586(CallCredentials)
       12    0.000    0.000    0.009    0.001 __init__.py:595(add_entry)
        1    0.000    0.000    0.000    0.000 __init__.py:603(AuthMetadataContext)
        1    0.000    0.000    0.000    0.000 __init__.py:612(AuthMetadataPluginCallback)
        1    0.000    0.000    0.000    0.000 __init__.py:625(AuthMetadataPlugin)
        1    0.000    0.000    0.000    0.000 __init__.py:642(ServerCredentials)
       10    0.000    0.000    0.000    0.000 __init__.py:652(__iter__)
        1    0.000    0.000    0.000    0.000 __init__.py:653(ServerCertificateConfiguration)
       18    0.000    0.000    0.000    0.000 __init__.py:669(add)
        1    0.000    0.000    0.000    0.000 __init__.py:671(UnaryUnaryMultiCallable)
        1    0.000    0.000    0.000    0.000 __init__.py:688(BufferingFormatter)
        1    0.000    0.000    0.000    0.000 __init__.py:730(Filter)
        1    0.000    0.000    0.000    0.000 __init__.py:767(Filterer)
       11    0.000    0.000    0.000    0.000 __init__.py:772(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:773(UnaryStreamMultiCallable)
        1    0.000    0.000    0.000    0.000 __init__.py:808(StreamUnaryMultiCallable)
        3    0.000    0.000    0.000    0.000 __init__.py:839(_addHandlerRef)
        1    0.000    0.000    0.000    0.000 __init__.py:849(Handler)
        3    0.000    0.000    0.000    0.000 __init__.py:858(__init__)
        2    0.000    0.000    0.000    0.000 __init__.py:887(createLock)
        1    0.000    0.000    0.000    0.000 __init__.py:891(subscribe)
        9    0.000    0.000    0.000    0.000 __init__.py:905(_added_new)
        1    0.000    0.000    0.000    0.000 __init__.py:912(StreamStreamMultiCallable)
        1    0.000    0.000    0.000    0.000 __init__.py:923(_ReqExtras)
        1    0.000    0.000    0.003    0.003 __init__.py:943(Environment)
        1    0.000    0.000    0.000    0.000 __init__.py:950(Channel)
        1    0.000    0.000    0.000    0.000 __init__.py:955(setFormatter)
        1    0.000    0.000    0.000    0.000 _base.py:112(_AllCompletedWaiter)
        1    0.000    0.000    0.000    0.000 _base.py:142(_AcquireFutures)
